,,,,,,,命名
BOSS_01,"技能一：
朝玩家发射五发散射弹幕","技能二：
蓄力后朝玩家冲锋并斩击，路径上造成伤害","技能三：
普通斩击一次","技能四：
翻滚后斩击一次","技能五：
翻滚后发射速发两个弹幕","技能六：三连斩，然后发射一个弹幕
",
,,,,,,,
小怪00,追踪玩家造成碰撞伤害,有地形限制,未检测到玩家不动,,,,
小怪01,朝玩家发射一个弹幕,弹幕会被地形等阻挡,不动,可以拥有较弱的移动能力,,,
小怪02,对接近自身的玩家发动一次拳击,"“拳击”无法弹反玩家的“斩击”，斩击可以
",巡逻，检测到玩家后追踪,有武器比没有武器强，合理,,,
上面是三种小怪基本模板,所有小怪均可被玩家一刀斩杀,玩家被弹反同样会失去攻击碰撞,,,,,
小怪03,更快速度追踪玩家,有地形限制,玩家“跑”不过的速度,,,,
小怪04,追踪玩家造成碰撞伤害,无地形限制,,,,,
小怪05,追踪玩家，弹道上无障碍物时发射一个弹幕,有地形限制,,,,,
小怪06,追踪玩家，靠近后发动斩击,有地形限制,,,,,
小怪07,蓄力，朝玩家发射一道激光,激光无法弹反,,,,,
小怪08,朝玩家位置投掷燃烧弹,燃烧弹落地后在一小块圆形区域产生持续的火焰伤害,,,,,
小怪09,朝玩家发射一个冰冻弹幕,受到两次冰冻将冻结行动，敌怪和玩家相同,,,,,
小怪10,朝玩家发射三个散射弹幕,,,,,,
小怪11,发射一个小怪00,,,,,,
小怪12,对接近自身的玩家发动一次斩击,,,,,,
小怪13,斩击后往后逃跑一段距离,前方指玩家位置，向后远离玩家,,,,,
小怪14,二连斩,,,,,,
小怪15,距离合适发动斩击，距离过近将推开玩家,推开：三档冲击力,,,,,
小怪16,拳击和发射一个弹幕两种行为随机,状态为发射弹幕时，会先行远离玩家,,,,,
小怪17,斩击和发射一个弹幕两种行为随机,状态为发射弹幕时，会先行远离玩家,,,,,
小怪18,检测到玩家时，向后逃跑,击败获取更多经验,,,,,
小怪19,检测到玩家时，朝玩家冲锋,撞到墙上会清空架势条,,,,,
小怪20,检测到玩家后不断发动斩击,每次斩击消耗架势条,乱劈风斩,,,,
,,,,,,,
